checked_at_utc,target_month_label,target_month_price_twd,target_month_seen,exact_match_price_twd,exact_match_note,nearby_price_twd,nearby_departure,nearby_return
2026-08-26T15:16:46Z,December 2026,9622.0,1 day(s) ago,,,,,
2026-08-26T15:48:26Z,December 2026,9622.0,1 day(s) ago,,,,,
